county_FIPS,state,county,per_capita_personal_income_2019,per_capita_personal_income_2020,per_capita_personal_income_2021,associate_degree_numbers_2016_2020,bachelor_degree_numbers_2016_2020,associate_degree_percentage_2016_2020,bachelor_degree_percentage_2015_2019,POPESTIMATE,POPEST_MALE,POPEST_FEM,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE18PLUS_TOT,AGE65PLUS_TOT,MEDIAN_AGE_TOT
51013,VA,"Arlington, VA",97629,100687,107603,19573,132394,11.21,75.84,238646.0,120116.0,118530.0,13319.0,21723.0,8736.0,194868.0,26373.0,35.2
35028,NM,"Los Alamos, NM",72366,75949,81306,2766,9098,20.54,67.56,19422.0,10025.0,9397.0,980.0,2245.0,1072.0,15125.0,3458.0,40.6
08013,CO,"Boulder, CO",79698,83173,89593,45834,135876,21.24,62.97,330770.0,167311.0,163459.0,13690.0,31580.0,16101.0,269399.0,49167.0,36.9
24027,MD,"Howard, MD",78013,82041,86380,42538,136792,19.49,62.67,332313.0,163757.0,168556.0,18987.0,42268.0,19962.0,251096.0,47053.0,39.0
36061,NY,"New York, NY",173525,175327,195543,167960,777483,13.43,62.18,1694978.0,809781.0,885197.0,77895.0,117189.0,47618.0,1452276.0,285615.0,38.1
51107,VA,"Loudoun, VA",82681,85568,90254,52006,160853,19.92,61.62,420955.0,210457.0,210498.0,28070.0,61355.0,27710.0,303820.0,41232.0,37.2
08097,CO,"Pitkin, CO",183241,187595,198939,2932,8459,21.2,61.17,17366.0,9089.0,8277.0,678.0,1264.0,690.0,14734.0,3584.0,45.6
37135,NC,"Orange, NC",66970,69593,74994,17907,55545,19.62,60.85,148707.0,71047.0,77660.0,6304.0,15210.0,7672.0,119521.0,21718.0,35.1
47187,TN,"Williamson, TN",95806,99408,107698,32995,91780,21.74,60.46,247777.0,122373.0,125404.0,14096.0,34998.0,17600.0,181083.0,33662.0,39.5
06041,CA,"Marin, CA",139891,148419,164118,44228,114604,23.22,60.16,262325.0,129307.0,133018.0,11862.0,27161.0,14117.0,209185.0,58594.0,47.0
18057,IN,"Hamilton, IN",78231,81233,85814,49452,128224,22.9,59.37,347491.0,170850.0,176641.0,21355.0,48234.0,22644.0,255258.0,44664.0,37.7
24031,MD,"Montgomery, MD",86039,87507,92740,135305,427967,18.73,59.25,1062077.0,517468.0,544609.0,63869.0,125868.0,57867.0,814473.0,168204.0,39.8
06075,CA,"San Francisco, CA",130464,141134,160749,126806,409341,18.2,58.76,878392.0,451647.0,426745.0,38205.0,57193.0,23636.0,759358.0,139957.0,38.6
08035,CO,"Douglas, CO",77986,81637,87841,61914,134307,27.02,58.61,357990.0,179828.0,178162.0,19783.0,45620.0,23905.0,268682.0,45631.0,39.1
08051,CO,"Gunnison, CO",51935,56168,59514,2434,6228,22.47,57.51,16919.0,9159.0,7760.0,654.0,1417.0,706.0,14142.0,2346.0,36.2
25017,MA,"Middlesex, MA",87174,92013,98523,204256,644709,18.08,57.06,1631915.0,805841.0,826074.0,84499.0,163431.0,75920.0,1308065.0,252559.0,38.6
26161,MI,"Washtenaw, MI",61447,64636,68688,56190,131273,24.28,56.72,372258.0,185914.0,186344.0,17780.0,34590.0,16828.0,303060.0,53972.0,34.2
08113,CO,"San Miguel, CO",95927,101654,109613,1288,3475,20.98,56.61,8070.0,4308.0,3762.0,301.0,729.0,339.0,6701.0,1296.0,43.1
49043,UT,"Summit, UT",164980,174010,183972,6446,15670,23.08,56.12,42361.0,21816.0,20545.0,2091.0,5232.0,2775.0,32263.0,5834.0,40.5
20091,KS,"Johnson, KS",78728,81020,84535,105469,227214,26.05,56.12,609860.0,301449.0,308411.0,37431.0,75318.0,35215.0,461896.0,90598.0,37.9
08014,CO,"Broomfield, CO",67287,66999,73678,13009,27160,26.85,56.06,74106.0,37250.0,36856.0,3615.0,8444.0,4238.0,57809.0,10796.0,38.2
34035,NJ,"Somerset, NJ",107923,106558,113975,44252,128232,19.18,55.57,345362.0,170192.0,175170.0,17506.0,38050.0,19742.0,270064.0,55120.0,42.1
39041,OH,"Delaware, OH",76803,80000,83603,32036,74919,23.74,55.53,214123.0,107129.0,106994.0,12454.0,28884.0,14117.0,158668.0,30333.0,39.5
56001,WY,"Albany, WY",42955,46056,48528,5899,11983,27.21,55.27,37071.0,19355.0,17716.0,1630.0,2999.0,1257.0,31185.0,4632.0,28.2
34027,NJ,"Morris, NJ",97774,100617,107767,69357,191526,20.01,55.26,509294.0,252292.0,257002.0,25168.0,53778.0,28163.0,402185.0,88105.0,42.7
56039,WY,"Teton, WY",278682,290674,318297,4270,9789,24.01,55.05,23327.0,12172.0,11155.0,1094.0,2152.0,907.0,19174.0,3773.0,40.5
13117,GA,"Forsyth, GA",66644,68985,73337,35775,84463,23.23,54.84,251285.0,125501.0,125784.0,14275.0,35804.0,17619.0,183587.0,30498.0,39.0
25021,MA,"Norfolk, MA",93360,97787,104059,102950,270144,20.79,54.56,726010.0,352518.0,373492.0,38102.0,76318.0,37614.0,573976.0,123008.0,40.7
13121,GA,"Fulton, GA",95148,95825,102074,152216,390293,21.26,54.51,1066546.0,519799.0,546747.0,59114.0,116002.0,53720.0,837710.0,126798.0,36.0
19103,IA,"Johnson, IA",54734,57009,59592,22885,48494,25.63,54.31,152854.0,76023.0,76831.0,8547.0,15315.0,6537.0,122455.0,18901.0,30.6
42029,PA,"Chester, PA",87486,91122,95483,69867,193139,19.61,54.21,534418.0,265112.0,269306.0,28943.0,62319.0,30276.0,412880.0,89376.0,40.5
08079,CO,"Mineral, CO",66224,67967,70250,189,379,27.0,54.14,865.0,436.0,429.0,33.0,51.0,33.0,748.0,268.0,53.5
34019,NJ,"Hunterdon, NJ",90649,93279,100288,18811,48426,20.98,54.01,128954.0,63537.0,65417.0,5521.0,12404.0,7058.0,103971.0,24854.0,46.7
37183,NC,"Wake, NC",62535,66147,71205,180759,395000,24.71,53.99,1129352.0,553319.0,576033.0,67113.0,137771.0,64306.0,860162.0,134496.0,36.8
08117,CO,"Summit, CO",76517,81157,86390,5832,12656,24.69,53.58,31292.0,17210.0,14082.0,1406.0,2595.0,1117.0,26174.0,4325.0,39.1
06085,CA,"Santa Clara, CA",113693,122785,138724,285038,716934,21.26,53.47,1936278.0,987657.0,948621.0,109118.0,211460.0,97803.0,1517897.0,265060.0,37.4
53033,WA,"King, WA",95083,99734,108212,401275,851818,25.16,53.41,2269666.0,1149218.0,1120448.0,125556.0,232857.0,99116.0,1812137.0,299940.0,37.0
41003,OR,"Benton, OR",47290,50628,54174,16382,29928,29.16,53.27,95186.0,47857.0,47329.0,3740.0,7841.0,3907.0,79698.0,15903.0,33.3
48085,TX,"Collin, TX",70813,72218,77006,173514,352516,26.2,53.23,1066331.0,529555.0,536776.0,63261.0,141682.0,68354.0,793034.0,117657.0,37.1
36109,NY,"Tompkins, NY",45232,48541,51377,13743,31848,22.9,53.08,105734.0,52103.0,53631.0,3869.0,7872.0,3694.0,90299.0,15896.0,31.8
50007,VT,"Chittenden, VT",61686,65123,67921,25646,56967,23.69,52.61,168340.0,83101.0,85239.0,7502.0,15078.0,7405.0,138355.0,26068.0,36.9
55025,WI,"Dane, WI",63668,66677,71062,94971,187927,26.49,52.42,561491.0,281150.0,280341.0,30040.0,58054.0,26344.0,447053.0,79236.0,35.5
06081,CA,"San Mateo, CA",131180,142264,160485,129775,287882,23.47,52.07,764659.0,381569.0,383090.0,41634.0,77996.0,35931.0,609098.0,124666.0,39.9
19169,IA,"Story, IA",43682,45618,47923,14331,26789,27.79,51.95,98534.0,51690.0,46844.0,4245.0,8287.0,3636.0,82366.0,12161.0,26.5
53055,WA,"San Juan, WA",81070,84496,87038,4028,7178,28.99,51.66,17786.0,8719.0,9067.0,513.0,1184.0,610.0,15479.0,6125.0,56.9
30031,MT,"Gallatin, MT",60242,65225,70276,19771,36859,27.66,51.57,118962.0,62127.0,56835.0,6046.0,12188.0,5172.0,95556.0,15219.0,33.5
48453,TX,"Travis, TX",73299,73982,81708,199133,446246,23.0,51.53,1290151.0,656357.0,633794.0,74926.0,136357.0,60229.0,1018639.0,132226.0,35.2
20045,KS,"Douglas, KS",46612,49290,51703,18119,36324,25.56,51.24,118777.0,59343.0,59434.0,5560.0,11058.0,4964.0,97195.0,15162.0,31.0
